PATENTE_WHODRUG_VIGIFLOW,DRUGNAME_WHODRUG,MPID_WHODRUG
Bcg vaccine ssi,Bcg vaccine,5949353
Eupenta,Sin coincidencia,NA
Hexavac,hexavac,3920553
Hexaxim,hexaxim,5071626
"Diphtheria vaccine toxoid;Hepatitis b vaccine rHBsAg;HIB vaccine conj (tet tox);Pertussis vaccine whole cell;Tetanus vaccine toxoid","{[Vacuna toxoide diftérico];Vacuna antihepatitis B rHBsAG;Vacuna HIB conj (tet tox);[Vacuna tos ferina célula entera];Vacuna toxoide tetánico}",3919104
Diphtheria, Tetanus, Pertussis, Hepatitis B and Haemophilus Influenzae type b conjugate vaccine adsorbed,"{[Vacuna toxoide diftérico];Vacuna antihepatitis B rHBsAG;Vacuna HIB conj (tet tox);[Vacuna tos ferina célula entera];Vacuna toxoide tetánico}",3919104
Vacuna Pentavalente (DPT+ HB+ Hib) Adsorbida,Combe five,5945336
Diphtheria, tetanus, pertussis and hepatitis b vaccine adsorbed,Sin coincidencia,NA
Pentabio,Sin coincidencia,NA
"Diphtheria vaccine toxoid;HIB vaccine;Pertussis vaccine whole cell;Tetanus vaccine toxoid",Sin coincidencia,NA
Dtp vaccine,"{[Vacuna toxoide diftérico];[Vacuna tos ferina];Vacuna toxoide tetánico}",3922474
Tripvac,tripvac,5945203
Adsorbed DT Vaccine,"{[Vacuna toxoide diftérico];Vacuna toxoide tetánico}",3921979
BE Td,BE Td - Vacuna Contra La Difteria Y El Tétanos (Adsorbida, Contenido De Antígeno(s) Reducido) (Tiomersal Reducido),MAHECU00308
Diftet,"{[Vacuna toxoide diftérico];Vacuna toxoide tetánico}",3921979
Td (adult),BE Td - Vacuna Contra La Difteria Y El Tétanos (Adsorbida, Contenido De Antígeno(s) Reducido) (Tiomersal Reducido),MAHECU00308
Hepatitis b vaccine (rDNA),GENEVAC B,5945299
"Measles vaccine;Mumps vaccine;Rubella vaccine","{Vacuna antisarampión;[Vacuna antiparotiditis];[Vacuna antirubéola]}",3917946
Pneumococcal vaccine 13v,Prevenar 13,MAHECU00270
Pneumococcal vaccine conj,Sin coincidencia,NA
Pneumosil,pneumosil,MAHECU00263
Prevenar 13,prevenar 13,MAHECU00270
Prevenar 13 multidose,Prevenar 13,MAHECU00270
Prevenar,prevenar,3272807
Prodiax 23,{Vacuna antineumocócica de polisacáridos 23v},3270776
Sabin Vaccine,Poliomyelitis vaccine (oral) bivalent type 1 and 3,5946703
Poliomyelitis vaccine,poliomyelitis vaccine,5946679
Picovax,{Vacuna antipoliomielítica inactivada 3v (Vero)},3270525
Polio vaccine live oral type 1/2/3,{Vacuna antipoliomielítica vivo oral tipos 1/2/3},3270528
Bivalent oral poliomyelitis vaccine types 1 & 3,{Vacuna antipoliomielítica vivo oral tipos 1//3},3270529
OPV (Oral Polio vaccine) bivalent,Poliomyelitis vaccine (oral) bivalent type 1 and 3,5946703
Rotavirus vaccine,Sin coincidencia,NA
Rotarix,rotarix,5290879
Yellow fever vaccine,{[Vacuna fiebre amarilla]},14060
Stamaril,stamaril,5290885